Sample in Buffer,Sample in Window,TRIGGER,sc_interrupt_sys/inst[31:0],sc_interrupt_sys/pc[31:0],sc_interrupt_sys/SI_ClkIn,sc_interrupt_sys/SI_Reset_N,sc_interrupt_sys/lock,sc_interrupt_sys/counter[26:0],sc_interrupt_sys/IO_Switch[15:0],sc_interrupt_sys/IO_LED[15:0],sc_interrupt_sys/dbg_imem_cs,sc_interrupt_sys/dbg_imem_we,sc_interrupt_sys/dbg_imem_addr[31:0],sc_interrupt_sys/dbg_imem_din[31:0],sc_interrupt_sys/dbg_dmem_cs,sc_interrupt_sys/dbg_dmem_we,sc_interrupt_sys/dbg_dmem_addr[31:0],sc_interrupt_sys/dbg_dmem_din[31:0],sc_interrupt_sys/dbg_halt_cpu,sc_interrupt_sys/IO_7SEGEN_N[7:0],sc_interrupt_sys/IO_7SEG_N[6:0],sc_interrupt_sys/intr
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
34,34,0,00000013,00000024,1,1,1,323af4d,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
35,35,0,00000013,00000024,0,1,1,323af4d,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
36,36,0,30200073,00000028,1,1,1,323af4e,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
37,37,0,30200073,00000028,0,1,1,323af4e,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
38,38,0,00552823,000000fc,1,1,1,323af4f,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
39,39,0,00552823,000000fc,0,1,1,323af4f,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
40,40,0,34202373,00000008,1,1,1,323af50,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
41,41,0,34202373,00000008,0,1,1,323af50,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
42,42,0,00f37393,0000000c,1,1,1,323af51,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
43,43,0,00f37393,0000000c,0,1,1,323af51,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
44,44,0,02000e13,00000010,1,1,1,323af52,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
45,45,0,02000e13,00000010,0,1,1,323af52,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
