Sample in Buffer,Sample in Window,TRIGGER,cpu/inst[31:0],cpu/pc[31:0],cpu/clk,cpu/SI_Reset_N,cpu/lock,cpu/counter[26:0],cpu/IO_Switch[15:0],cpu/IO_LED[15:0],cpu/dbg_resetn_cpu,cpu/dbg_imem_we,cpu/dbg_imem_addr[31:0],cpu/dbg_imem_din[31:0],cpu/dbg_dmem_ce,cpu/wpcir,cpu/dbg_dmem_addr[31:0],cpu/dbg_dmem_din[31:0],cpu/dbg_halt_cpu,cpu/IO_7SEGEN_N[7:0],cpu/IO_7SEG_N[6:0],cpu/npc[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
35,35,0,0005a283,0000001c,1,1,1,0bc0178,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
36,36,0,0005a283,0000001c,0,1,1,0bc0178,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
37,37,0,00552023,00000020,1,1,1,0bc0179,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
38,38,0,00552023,00000020,0,1,1,0bc0179,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
39,39,0,00552023,00000020,1,1,1,0bc017a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
40,40,0,00552023,00000020,0,1,1,0bc017a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
41,41,0,00552823,00000024,1,1,1,0bc017b,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
42,42,0,00552823,00000024,0,1,1,0bc017b,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
43,43,0,ff5ff06f,00000028,1,1,1,0bc017c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
44,44,0,ff5ff06f,00000028,0,1,1,0bc017c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
45,45,0,00000000,00000018,1,1,1,0bc017d,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
