Sample in Buffer,Sample in Window,TRIGGER,cpu/inst[31:0],cpu/pc[31:0],cpu/clk,cpu/SI_Reset_N,cpu/lock,cpu/counter[26:0],cpu/IO_Switch[15:0],cpu/IO_LED[15:0],cpu/dbg_resetn_cpu,cpu/dbg_imem_we,cpu/dbg_imem_addr[31:0],cpu/dbg_imem_din[31:0],cpu/dbg_dmem_ce,cpu/wpcir,cpu/dbg_dmem_addr[31:0],cpu/dbg_dmem_din[31:0],cpu/dbg_halt_cpu,cpu/IO_7SEGEN_N[7:0],cpu/IO_7SEG_N[6:0],cpu/npc[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
186,186,0,00552823,00000024,0,1,1,0bc01c3,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
187,187,0,ff5ff06f,00000028,1,1,1,0bc01c4,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
188,188,0,ff5ff06f,00000028,0,1,1,0bc01c4,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
189,189,0,00000000,00000018,1,1,1,0bc01c5,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
190,190,0,00000000,00000018,0,1,1,0bc01c5,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
191,191,0,0005a283,0000001c,1,1,1,0bc01c6,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
192,192,0,0005a283,0000001c,0,1,1,0bc01c6,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
193,193,0,00552023,00000020,1,1,1,0bc01c7,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
194,194,0,00552023,00000020,0,1,1,0bc01c7,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
195,195,0,00552023,00000020,1,1,1,0bc01c8,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
196,196,0,00552023,00000020,0,1,1,0bc01c8,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
197,197,0,00552823,00000024,1,1,1,0bc01c9,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
198,198,0,00552823,00000024,0,1,1,0bc01c9,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
199,199,0,ff5ff06f,00000028,1,1,1,0bc01ca,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
200,200,0,ff5ff06f,00000028,0,1,1,0bc01ca,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
201,201,0,00000000,00000018,1,1,1,0bc01cb,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
202,202,0,00000000,00000018,0,1,1,0bc01cb,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
203,203,0,0005a283,0000001c,1,1,1,0bc01cc,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
204,204,0,0005a283,0000001c,0,1,1,0bc01cc,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
205,205,0,00552023,00000020,1,1,1,0bc01cd,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
206,206,0,00552023,00000020,0,1,1,0bc01cd,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
207,207,0,00552023,00000020,1,1,1,0bc01ce,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
208,208,0,00552023,00000020,0,1,1,0bc01ce,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
209,209,0,00552823,00000024,1,1,1,0bc01cf,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
210,210,0,00552823,00000024,0,1,1,0bc01cf,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
211,211,0,ff5ff06f,00000028,1,1,1,0bc01d0,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
212,212,0,ff5ff06f,00000028,0,1,1,0bc01d0,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
213,213,0,00000000,00000018,1,1,1,0bc01d1,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
214,214,0,00000000,00000018,0,1,1,0bc01d1,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
215,215,0,0005a283,0000001c,1,1,1,0bc01d2,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
216,216,0,0005a283,0000001c,0,1,1,0bc01d2,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
217,217,0,00552023,00000020,1,1,1,0bc01d3,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
218,218,0,00552023,00000020,0,1,1,0bc01d3,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
219,219,0,00552023,00000020,1,1,1,0bc01d4,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
220,220,0,00552023,00000020,0,1,1,0bc01d4,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
221,221,0,00552823,00000024,1,1,1,0bc01d5,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
222,222,0,00552823,00000024,0,1,1,0bc01d5,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
223,223,0,ff5ff06f,00000028,1,1,1,0bc01d6,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
224,224,0,ff5ff06f,00000028,0,1,1,0bc01d6,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
225,225,0,00000000,00000018,1,1,1,0bc01d7,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
226,226,0,00000000,00000018,0,1,1,0bc01d7,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
227,227,0,0005a283,0000001c,1,1,1,0bc01d8,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
228,228,0,0005a283,0000001c,0,1,1,0bc01d8,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
229,229,0,00552023,00000020,1,1,1,0bc01d9,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
230,230,0,00552023,00000020,0,1,1,0bc01d9,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
231,231,0,00552023,00000020,1,1,1,0bc01da,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
232,232,0,00552023,00000020,0,1,1,0bc01da,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
233,233,0,00552823,00000024,1,1,1,0bc01db,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
234,234,0,00552823,00000024,0,1,1,0bc01db,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
235,235,0,ff5ff06f,00000028,1,1,1,0bc01dc,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
236,236,0,ff5ff06f,00000028,0,1,1,0bc01dc,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
237,237,0,00000000,00000018,1,1,1,0bc01dd,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
238,238,0,00000000,00000018,0,1,1,0bc01dd,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
239,239,0,0005a283,0000001c,1,1,1,0bc01de,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
240,240,0,0005a283,0000001c,0,1,1,0bc01de,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
241,241,0,00552023,00000020,1,1,1,0bc01df,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
242,242,0,00552023,00000020,0,1,1,0bc01df,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
243,243,0,00552023,00000020,1,1,1,0bc01e0,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
244,244,0,00552023,00000020,0,1,1,0bc01e0,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
245,245,0,00552823,00000024,1,1,1,0bc01e1,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
246,246,0,00552823,00000024,0,1,1,0bc01e1,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
247,247,0,ff5ff06f,00000028,1,1,1,0bc01e2,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
248,248,0,ff5ff06f,00000028,0,1,1,0bc01e2,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
249,249,0,00000000,00000018,1,1,1,0bc01e3,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
250,250,0,00000000,00000018,0,1,1,0bc01e3,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
251,251,0,0005a283,0000001c,1,1,1,0bc01e4,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
252,252,0,0005a283,0000001c,0,1,1,0bc01e4,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
253,253,0,00552023,00000020,1,1,1,0bc01e5,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
254,254,0,00552023,00000020,0,1,1,0bc01e5,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
255,255,0,00552023,00000020,1,1,1,0bc01e6,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
256,256,0,00552023,00000020,0,1,1,0bc01e6,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
257,257,0,00552823,00000024,1,1,1,0bc01e7,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
258,258,0,00552823,00000024,0,1,1,0bc01e7,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
259,259,0,ff5ff06f,00000028,1,1,1,0bc01e8,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
260,260,0,ff5ff06f,00000028,0,1,1,0bc01e8,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
261,261,0,00000000,00000018,1,1,1,0bc01e9,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
262,262,0,00000000,00000018,0,1,1,0bc01e9,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
263,263,0,0005a283,0000001c,1,1,1,0bc01ea,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
264,264,0,0005a283,0000001c,0,1,1,0bc01ea,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
265,265,0,00552023,00000020,1,1,1,0bc01eb,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
266,266,0,00552023,00000020,0,1,1,0bc01eb,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
267,267,0,00552023,00000020,1,1,1,0bc01ec,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
268,268,0,00552023,00000020,0,1,1,0bc01ec,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
269,269,0,00552823,00000024,1,1,1,0bc01ed,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
270,270,0,00552823,00000024,0,1,1,0bc01ed,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
271,271,0,ff5ff06f,00000028,1,1,1,0bc01ee,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
272,272,0,ff5ff06f,00000028,0,1,1,0bc01ee,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
273,273,0,00000000,00000018,1,1,1,0bc01ef,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
274,274,0,00000000,00000018,0,1,1,0bc01ef,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
275,275,0,0005a283,0000001c,1,1,1,0bc01f0,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
276,276,0,0005a283,0000001c,0,1,1,0bc01f0,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
277,277,0,00552023,00000020,1,1,1,0bc01f1,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
278,278,0,00552023,00000020,0,1,1,0bc01f1,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
279,279,0,00552023,00000020,1,1,1,0bc01f2,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
280,280,0,00552023,00000020,0,1,1,0bc01f2,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
281,281,0,00552823,00000024,1,1,1,0bc01f3,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
282,282,0,00552823,00000024,0,1,1,0bc01f3,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
283,283,0,ff5ff06f,00000028,1,1,1,0bc01f4,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
284,284,0,ff5ff06f,00000028,0,1,1,0bc01f4,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
285,285,0,00000000,00000018,1,1,1,0bc01f5,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
286,286,0,00000000,00000018,0,1,1,0bc01f5,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
287,287,0,0005a283,0000001c,1,1,1,0bc01f6,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
288,288,0,0005a283,0000001c,0,1,1,0bc01f6,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
289,289,0,00552023,00000020,1,1,1,0bc01f7,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
290,290,0,00552023,00000020,0,1,1,0bc01f7,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
291,291,0,00552023,00000020,1,1,1,0bc01f8,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
292,292,0,00552023,00000020,0,1,1,0bc01f8,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
293,293,0,00552823,00000024,1,1,1,0bc01f9,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
294,294,0,00552823,00000024,0,1,1,0bc01f9,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
295,295,0,ff5ff06f,00000028,1,1,1,0bc01fa,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
296,296,0,ff5ff06f,00000028,0,1,1,0bc01fa,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
297,297,0,00000000,00000018,1,1,1,0bc01fb,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
298,298,0,00000000,00000018,0,1,1,0bc01fb,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
299,299,0,0005a283,0000001c,1,1,1,0bc01fc,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
300,300,0,0005a283,0000001c,0,1,1,0bc01fc,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
301,301,0,00552023,00000020,1,1,1,0bc01fd,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
302,302,0,00552023,00000020,0,1,1,0bc01fd,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
303,303,0,00552023,00000020,1,1,1,0bc01fe,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
304,304,0,00552023,00000020,0,1,1,0bc01fe,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
305,305,0,00552823,00000024,1,1,1,0bc01ff,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
306,306,0,00552823,00000024,0,1,1,0bc01ff,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
307,307,0,ff5ff06f,00000028,1,1,1,0bc0200,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
308,308,0,ff5ff06f,00000028,0,1,1,0bc0200,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
309,309,0,00000000,00000018,1,1,1,0bc0201,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
310,310,0,00000000,00000018,0,1,1,0bc0201,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
311,311,0,0005a283,0000001c,1,1,1,0bc0202,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
312,312,0,0005a283,0000001c,0,1,1,0bc0202,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
313,313,0,00552023,00000020,1,1,1,0bc0203,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
314,314,0,00552023,00000020,0,1,1,0bc0203,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
315,315,0,00552023,00000020,1,1,1,0bc0204,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
316,316,0,00552023,00000020,0,1,1,0bc0204,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
317,317,0,00552823,00000024,1,1,1,0bc0205,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
318,318,0,00552823,00000024,0,1,1,0bc0205,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
319,319,0,ff5ff06f,00000028,1,1,1,0bc0206,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
320,320,0,ff5ff06f,00000028,0,1,1,0bc0206,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
321,321,0,00000000,00000018,1,1,1,0bc0207,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
322,322,0,00000000,00000018,0,1,1,0bc0207,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
323,323,0,0005a283,0000001c,1,1,1,0bc0208,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
324,324,0,0005a283,0000001c,0,1,1,0bc0208,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
325,325,0,00552023,00000020,1,1,1,0bc0209,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
326,326,0,00552023,00000020,0,1,1,0bc0209,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
327,327,0,00552023,00000020,1,1,1,0bc020a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
328,328,0,00552023,00000020,0,1,1,0bc020a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
329,329,0,00552823,00000024,1,1,1,0bc020b,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
330,330,0,00552823,00000024,0,1,1,0bc020b,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
331,331,0,ff5ff06f,00000028,1,1,1,0bc020c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
332,332,0,ff5ff06f,00000028,0,1,1,0bc020c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
333,333,0,00000000,00000018,1,1,1,0bc020d,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
334,334,0,00000000,00000018,0,1,1,0bc020d,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
335,335,0,0005a283,0000001c,1,1,1,0bc020e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
336,336,0,0005a283,0000001c,0,1,1,0bc020e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
337,337,0,00552023,00000020,1,1,1,0bc020f,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
338,338,0,00552023,00000020,0,1,1,0bc020f,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
339,339,0,00552023,00000020,1,1,1,0bc0210,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
340,340,0,00552023,00000020,0,1,1,0bc0210,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
341,341,0,00552823,00000024,1,1,1,0bc0211,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
342,342,0,00552823,00000024,0,1,1,0bc0211,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
343,343,0,ff5ff06f,00000028,1,1,1,0bc0212,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
344,344,0,ff5ff06f,00000028,0,1,1,0bc0212,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
345,345,0,00000000,00000018,1,1,1,0bc0213,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
346,346,0,00000000,00000018,0,1,1,0bc0213,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
347,347,0,0005a283,0000001c,1,1,1,0bc0214,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
348,348,0,0005a283,0000001c,0,1,1,0bc0214,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
349,349,0,00552023,00000020,1,1,1,0bc0215,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
350,350,0,00552023,00000020,0,1,1,0bc0215,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
351,351,0,00552023,00000020,1,1,1,0bc0216,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
352,352,0,00552023,00000020,0,1,1,0bc0216,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
353,353,0,00552823,00000024,1,1,1,0bc0217,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
354,354,0,00552823,00000024,0,1,1,0bc0217,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
355,355,0,ff5ff06f,00000028,1,1,1,0bc0218,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
356,356,0,ff5ff06f,00000028,0,1,1,0bc0218,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
357,357,0,00000000,00000018,1,1,1,0bc0219,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
358,358,0,00000000,00000018,0,1,1,0bc0219,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
359,359,0,0005a283,0000001c,1,1,1,0bc021a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
360,360,0,0005a283,0000001c,0,1,1,0bc021a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
361,361,0,00552023,00000020,1,1,1,0bc021b,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
362,362,0,00552023,00000020,0,1,1,0bc021b,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
363,363,0,00552023,00000020,1,1,1,0bc021c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
364,364,0,00552023,00000020,0,1,1,0bc021c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
365,365,0,00552823,00000024,1,1,1,0bc021d,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
366,366,0,00552823,00000024,0,1,1,0bc021d,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
367,367,0,ff5ff06f,00000028,1,1,1,0bc021e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
368,368,0,ff5ff06f,00000028,0,1,1,0bc021e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
369,369,0,00000000,00000018,1,1,1,0bc021f,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
370,370,0,00000000,00000018,0,1,1,0bc021f,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
371,371,0,0005a283,0000001c,1,1,1,0bc0220,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
372,372,0,0005a283,0000001c,0,1,1,0bc0220,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
373,373,0,00552023,00000020,1,1,1,0bc0221,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
374,374,0,00552023,00000020,0,1,1,0bc0221,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
375,375,0,00552023,00000020,1,1,1,0bc0222,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
376,376,0,00552023,00000020,0,1,1,0bc0222,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
377,377,0,00552823,00000024,1,1,1,0bc0223,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
378,378,0,00552823,00000024,0,1,1,0bc0223,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
379,379,0,ff5ff06f,00000028,1,1,1,0bc0224,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
380,380,0,ff5ff06f,00000028,0,1,1,0bc0224,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
381,381,0,00000000,00000018,1,1,1,0bc0225,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
382,382,0,00000000,00000018,0,1,1,0bc0225,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
